10x,10y,10z,12x,12y,12z,13x,13y,13z,30x,30y,30z,
-3.574517,-1.050468,-0.101204,-4.490544,0.036002,-0.398754,-5.874738,-0.175121,0.038234,-4.494461,0.187531,-1.406261,
3.508390,-0.045593,0.364160,4.255507,-0.570911,-0.763934,5.594277,-1.102646,-0.486516,3.702792,-1.294074,-1.219050,
-2.806977,0.404545,1.375299,-4.126559,0.056729,0.882467,-4.244259,-1.099289,-0.008402,-4.572527,0.880644,0.490425,
-3.129870,-0.477408,0.662745,-3.813427,0.803010,0.647187,-5.041217,0.908626,-0.149428,-4.014351,1.091235,1.602000,
3.909259,-0.866916,-0.001653,3.621811,0.548852,-0.169641,4.793788,1.425261,-0.120679,3.177269,0.649304,-1.080390,
-3.218211,-0.631674,-0.236850,-4.018637,0.380628,0.445634,-4.451454,1.524588,-0.365834,-4.837131,-0.054534,0.870935,
3.578831,0.453456,0.977454,3.213419,-0.941604,0.800969,4.089704,-1.812184,0.012487,2.258632,-1.003903,0.464110,
-4.021221,-0.712933,-0.421740,-4.214166,0.681279,-0.774474,-3.676045,1.729905,0.088661,-3.899413,0.835008,-1.728934,
-3.743787,-0.326106,-0.696220,-4.259342,0.502171,0.402480,-3.904500,1.931883,0.414057,-5.272782,0.433904,0.408816,
3.708190,0.477843,-1.096732,5.116825,0.153836,-0.984068,5.889315,0.512439,0.207356,5.252386,-0.826894,-1.211859,
3.661687,1.041682,-0.022786,4.449312,-0.168716,-0.182397,5.802741,-0.110330,0.381771,4.528757,-0.366243,-1.178680,
3.472864,0.458631,-0.350587,2.873761,-0.809453,0.041024,3.792431,-1.944302,0.205081,2.357064,-0.669111,0.905537,
3.139116,-1.144059,-0.534164,4.097793,-0.929164,0.539608,5.287033,-0.127488,0.217784,4.399428,-1.827318,0.910400,
-3.520761,-0.577144,0.520428,-4.553407,0.229604,-0.100909,-4.323990,1.659491,-0.316586,-4.853724,-0.225233,-0.957992,
-3.327975,0.804348,-0.399485,-4.267404,0.076788,0.433350,-5.002651,-1.007730,-0.221424,-4.933186,0.724259,0.852772,
3.944810,0.405401,0.870894,3.202306,-0.838748,0.962926,3.281450,-1.749852,-0.183890,3.490933,-1.340558,1.799827,
-3.771748,0.714224,-0.616413,-3.505874,-0.699389,-0.817988,-4.262225,-1.685281,-0.041491,-2.510094,-0.875064,-0.737466,
