D88,D27,D14,D33,D36,D45,D57,D63,D54
-176.9353,91.2999,-1.4605,-176.8364,-170.7173,-78.5495,105.3281,71.4017,86.5646
-171.7934,86.4199,175.8684,87.1488,174.7522,176.1554,179.8416,170.6049,-50.9304
-175.9637,86.4384,177.3127,86.2847,171.8114,-57.8613,178.0621,63.8559,-40.4386
-175.447,-92.3801,1.2842,177.4883,53.0709,-168.659,-88.0366,163.634,155.3444
-174.9395,-92.5148,1.12,177.7907,53.6617,-163.5216,-104.0444,67.78,156.7855
174.7435,92.6809,1.9969,177.4658,52.9308,-168.8786,-88.032,163.6915,155.5536
174.7422,-86.0643,-178.1104,177.4659,52.9308,-168.8787,-88.032,163.6916,155.5536
177.5622,-87.4891,-148.4625,-116.4107,174.5457,-60.9863,175.0003,63.1731,-53.3742
-175.969,86.08,-179.0149,177.3911,52.9333,-171.5604,162.2027,-70.1349,156.5321
171.7743,-87.5216,-157.5789,-99.5,-160.542,-170.4467,164.6957,161.7717,155.161
173.5769,92.7883,1.8411,177.58,53.4699,-163.6585,-104.146,67.9286,156.9851
172.2007,-85.8043,-179.8585,-179.8774,-63.4988,-160.2804,-103.3029,-65.4104,155.1316
172.1994,-87.6055,-157.9713,-99.0696,-160.2435,-169.083,159.8093,62.4474,154.8607
172.2035,92.8426,0.0489,-179.8786,-63.4991,-160.2785,-103.3006,-65.4087,155.1292
174.1831,92.328,2.12,178.2952,69.6579,64.2732,-173.8318,76.328,47.1219
179.2747,-86.5012,179.6669,-177.5033,-166.9997,-167.4186,-88.3194,163.4326,155.3042
-172.2357,-93.0638,-0.8519,-179.0646,-63.2079,-160.6343,-103.5811,-65.4921,155.7024
179.427,-91.9369,-1.8343,-177.3813,-167.2746,-167.4688,-88.3238,163.4461,155.2788
179.2611,92.0133,-0.5844,-177.5199,-167.0043,-167.4262,-88.3213,163.4391,155.3168
173.4044,-86.5419,152.8379,109.4929,63.236,175.3776,166.6965,70.9434,61.4535
173.3908,-86.562,152.8153,109.5113,63.2456,175.3859,166.6928,70.9425,61.4409
-176.9329,91.2992,-1.4608,-176.8361,-170.7174,-78.5495,105.3281,71.4019,86.5645
